Server,Path,username
MCKVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,kendrag
MCKVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,alisonh
MCKVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,bethg
MCKVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,howards
MCKVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,josephh
MCKVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,jyotsnam
MCKVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,lilyb
MCKVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,michaeld
MCKVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,nancyl
MCKVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,sheriek
MCKVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,taylorl
MCKVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,yanal
MCKVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,erics
MCKVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,billo
SESTGVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,kendrag
SESTGVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,alisonh
SESTGVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,bethg
SESTGVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,howards
SESTGVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,josephh
SESTGVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,jyotsnam
SESTGVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,lilyb
SESTGVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,michaeld
SESTGVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,nancyl
SESTGVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,sheriek
SESTGVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,taylorl
SESTGVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,yanal
SESTGVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,erics
SESTGVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,billo
SETESTVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,kendrag
SETESTVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,alisonh
SETESTVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,bethg
SETESTVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,howards
SETESTVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,josephh
SETESTVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,jyotsnam
SETESTVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,lilyb
SETESTVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,michaeld
SETESTVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,nancyl
SETESTVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,sheriek
SETESTVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,taylorl
SETESTVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,yanal
SETESTVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,erics
SETESTVIEWPOINT,c$\Viewpoint Repository\bulk inserts\ETL\GL\JournalEntries,billo
